,hotel_name,stars,price,price_for_period,nights_for_price,package,takeoff_airport,link_on_fibula
0,Sea Garden,2 ѕвезди,€ 958,21 јул. 2023,6 ноќи,Ноќевање со појадок,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sea-garden--41504#departure=2023-07-21&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-21&v=1"
1,Viva Blue Resort & diving sports,4 ѕвезди,€ 1.001,18 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/viva-blue-resort-and-diving-sports--1612869#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1"
2,Labranda Lemon & Soul Makadi Bay,3 ѕвезди,€ 1.013,18 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/labranda-lemon-and-soul-makadi-bay--214276#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1"
3,Magic Beach,4 ѕвезди,€ 1.028,15 септ. 2023,6 ноќи,Полупансион,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/magic-beach--297669#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
4,Zahabia Hotel & Beach Resort,2 ѕвезди,€ 1.037,22 септ. 2023,6 ноќи,Полупансион,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/zahabia-hotel-and-beach-resort--233367#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1"
5,King Tut Resort,3 ѕвезди,€ 1.040,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/king-tut-resort--712379#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
6,Minamark Resort,4 ѕвезди,€ 1.040,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/minamark-resort--922189#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1"
7,Balina Paradise Abu Soma Resort,4 ѕвезди,€ 1.052,25 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/balina-paradise-abu-soma-resort--147434#departure=2023-08-25&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-25&v=1"
8,Royal Star Beach Resort,4 ѕвезди,€ 1.052,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/royal-star-beach-resort--671704#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
9,Mirage Bay Resort & Aqua Park,"3,5 ѕвезди",€ 1.066,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/mirage-bay-resort-and-aqua-park--238494#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
10,Pyramisa Isis Hotel & Suites Luxor,4 ѕвезди,€ 1.066,18 јул. 2023,6 ноќи,Само сместување,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/nile/luxor/pyramisa-isis-hotel-and-suites-luxor--313436#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1"
11,Lotus Bay Resort,4 ѕвезди,€ 1.066,25 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/lotus-bay-resort--339780#departure=2023-08-25&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-25&v=1"
12,Sphinx Aqua Park Beach Resort,"3,5 ѕвезди",€ 1.066,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sphinx-aqua-park-beach-resort--737819#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
13,Le Pacha Resort,3 ѕвезди,€ 1.078,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/le-pacha-resort--140374#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1"
14,Blend Elphistone Resort,"4,5 ѕвезди",€ 1.087,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/marsa-alam/blend-elphistone-resort--164993#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
15,Bella Vista,4 ѕвезди,€ 1.098,01 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/bella-vista--297999#departure=2023-08-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-01&v=1"
16,Marlin Inn Azur Resort,"3,5 ѕвезди",€ 1.113,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/marlin-inn-azur-resort--366822#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
17,TIA Heights Makadi Bay,5 ѕвезди,€ 1.113,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/tia-heights-makadi-bay--415688#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
18,Pharaoh Azur Resort,5 ѕвезди,€ 1.113,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/pharaoh-azur-resort--678792#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1"
19,The Three Corners Equinox Beach Resort,4 ѕвезди,€ 1.113,01 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/marsa-alam/the-three-corners-equinox-beach-resort--736023#departure=2023-09-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-01&v=1"
20,Seagull Beach Resort,4 ѕвезди,€ 1.124,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/seagull-beach-resort--24953#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
21,Sunny Days Resort - Mirette Resort & SPA,3 ѕвезди,€ 1.136,21 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sunny-days-resort-mirette-resort-and-spa--911112#departure=2023-07-21&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-21&v=1"
22,Flamenco Beach & Resort Quseir,3 ѕвезди,€ 1.138,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-qoseir/flamenco-beach-and-resort-quseir--488166#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
23,The Three Corners Sunny Beach Resort,4 ѕвезди,€ 1.138,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/the-three-corners-sunny-beach-resort--742928#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
24,Jasmine Palace Resort,"4,5 ѕвезди",€ 1.138,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/jasmine-palace-resort--792073#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
25,Sea Star Beau Rivage Hotel,4 ѕвезди,€ 1.150,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sea-star-beau-rivage-hotel--940884#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1"
26,Giftun Azur Resort,3 ѕвезди,€ 1.164,25 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/giftun-azur-resort--411089#departure=2023-07-25&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-25&v=1"
27,AMC Royal Hotel & Spa,5 ѕвезди,€ 1.164,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/amc-royal-hotel-and-spa--432623#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
28,Aladdin Beach Resort,3 ѕвезди,€ 1.164,25 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/aladdin-beach-resort--561881#departure=2023-08-25&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-25&v=1"
29,Shams Safaga Resort,4 ѕвезди,€ 1.164,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/shams-safaga-resort--790201#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
30,Three Corners Happy Life Beach Resort,4 ѕвезди,€ 1.176,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/marsa-alam/three-corners-happy-life-beach-resort--419675#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
31,The Three Corners Sea Beach Resort,4 ѕвезди,€ 1.176,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/port-ghalib/the-three-corners-sea-beach-resort--670137#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
32,Palm Beach Resort,4 ѕвезди,€ 1.176,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/palm-beach-resort--823861#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
33,Aurora Bay Resort Marsa Alam,4 ѕвезди,€ 1.188,21 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/marsa-alam/aurora-bay-resort-marsa-alam--107809#departure=2023-07-21&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-21&v=1"
34,Titanic Resort & Aquapark,4 ѕвезди,€ 1.200,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/titanic-resort-and-aquapark--192859#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1"
35,Stella Gardens Resort & Spa,5 ѕвезди,€ 1.202,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/stella-gardens-resort-and-spa--469680#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
36,Hurghada Long Beach Resort,4 ѕвезди,€ 1.202,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/hurghada-long-beach-resort--871697#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
37,Bel Air Azur Resort,3 ѕвезди,€ 1.214,12 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/bel-air-azur-resort--201929#departure=2023-09-12&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-12&v=1"
38,Mercure Hurghada Hotel,4 ѕвезди,€ 1.214,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/mercure-hurghada-hotel--772382#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
39,Coral Sun Beach Safaga,4 ѕвезди,€ 1.214,29 авг. 2023,6 ноќи,Полупансион,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/coral-sun-beach-safaga--1614576#departure=2023-08-29&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-29&v=1"
40,Pickalbatros Sands Port Ghalib,5 ѕвезди,€ 1.228,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/port-ghalib/pickalbatros-sands-port-ghalib--210194#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
41,Hotelux Marina Beach Hurghada,"4,5 ѕвезди",€ 1.228,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/hotelux-marina-beach-hurghada--358178#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
42,Pickalbatros Oasis Port Ghalib,5 ѕвезди,€ 1.228,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/port-ghalib/pickalbatros-oasis-port-ghalib--873003#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
43,Titanic Beach Spa & Aqua Park,5 ѕвезди,€ 1.238,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/titanic-beach-spa-and-aqua-park--151882#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1"
44,Cook's Club El Gouna,3 ѕвезди,€ 1.240,18 јул. 2023,6 ноќи,Ноќевање со појадок,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-gouna/cooks-club-el-gouna--270707#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1"
45,Nubia Aqua Beach Resort,"3,5 ѕвезди",€ 1.240,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/nubia-aqua-beach-resort--670818#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
46,Gravity Hotel & Aqua Park Hurghada,4 ѕвезди,€ 1.240,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/gravity-hotel-and-aqua-park-hurghada--1646906#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
47,Concorde Moreen Beach Resort,5 ѕвезди,€ 1.252,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/marsa-alam/concorde-moreen-beach-resort--207026#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
48,Imperial Shams Abu Soma,4 ѕвезди,€ 1.254,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/imperial-shams-abu-soma--475542#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
49,Hotel Sultan Bey Resort,4 ѕвезди,€ 1.256,18 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-gouna/hotel-sultan-bey-resort--445692#departure=2023-08-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-18&v=1"
50,LABRANDA Club Makadi,4 ѕвезди,€ 1.266,18 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/labranda-club-makadi--362199#departure=2023-08-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-18&v=1"
51,Sentido Casa Del Mar Resort,4 ѕвезди,€ 1.266,15 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sentido-casa-del-mar-resort--819757#departure=2023-08-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-15&v=1"
52,ZYA Regina Resort & Aqua Park,4 ѕвезди,€ 1.266,15 септ. 2023,6 ноќи,Ноќевање со појадок,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/zya-regina-resort-and-aqua-park--848241#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
53,Sindbad Club,4 ѕвезди,€ 1.282,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sindbad-club--1752033#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
54,Stella Di Mare Beach Resort & Spa,4 ѕвезди,€ 1.292,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/stella-di-mare-beach-resort-and-spa--214249#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
55,Old Palace Resort Sahl Hasheesh,5 ѕвезди,€ 1.292,15 септ. 2023,6 ноќи,All inclusive plus/ultra,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/sahl-hasheesh/old-palace-resort-sahl-hasheesh--666699#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
56,Arabella Azur Resort,4 ѕвезди,€ 1.292,12 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/arabella-azur-resort--687296#departure=2023-09-12&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-12&v=1"
57,Pyramisa Beach Resort Sahl Hasheesh,5 ѕвезди,€ 1.306,08 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/sahl-hasheesh/pyramisa-beach-resort-sahl-hasheesh--290836#departure=2023-09-08&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-08&v=1"
58,Steigenberger Makadi,5 ѕвезди,€ 1.306,28 јул. 2023,6 ноќи,Полупансион,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/steigenberger-makadi--414364#departure=2023-07-28&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-28&v=1"
59,Steigenberger Aqua Magic Red Sea,5 ѕвезди,€ 1.306,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/steigenberger-aqua-magic-red-sea--493320#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1"
