,hotel_name,stars,price,price_for_period,nights_for_price,package,takeoff_airport,link_on_fibula
60,Gravity Sahl Hasheesh & Aqua Park Hurghada,5 ѕвезди,€ 1.306,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/sahl-hasheesh/gravity-sahl-hasheesh-and-aqua-park-hurghada--1765184#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
61,Golden Beach Resort,4 ѕвезди,€ 1.308,01 септ. 2023,6 ноќи,All inclusive plus/ultra,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/golden-beach-resort--14228#departure=2023-09-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-01&v=1"
62,Caves Beach Resort,5 ѕвезди,€ 1.308,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/caves-beach-resort--604026#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
63,Titanic Palace,5 ѕвезди,€ 1.313,22 септ. 2023,6 ноќи,All inclusive plus/ultra,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/titanic-palace--30130#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1"
64,Tivoli Hotel Aqua Park,3 ѕвезди,€ 1.316,16 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/sinai-peninsula/sharm-el-sheikh/tivoli-hotel-aqua-park--978047#departure=2023-09-16&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-16&v=1"
65,Jaz Dar El Madina,4 ѕвезди,€ 1.317,05 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/port-ghalib/jaz-dar-el-madina--894004#departure=2023-09-05&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-05&v=1"
66,Arabia Azur Resort,4 ѕвезди,€ 1.322,29 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/arabia-azur-resort--611746#departure=2023-08-29&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-29&v=1"
67,Pickalbatros Palace Port Ghalib,5 ѕвезди,€ 1.322,01 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/port-ghalib/pickalbatros-palace-port-ghalib--712997#departure=2023-09-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-01&v=1"
68,SUNRISE Aqua Joy Resort,4 ѕвезди,€ 1.326,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sunrise-aqua-joy-resort--84471#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
69,Sunny Days Resort Spa & Aqua Park,4 ѕвезди,€ 1.333,25 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sunny-days-resort-spa-and-aqua-park--1775484#departure=2023-08-25&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-25&v=1"
70,Labranda Club Paradisio El Gouna,4 ѕвезди,€ 1.345,01 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-gouna/labranda-club-paradisio-el-gouna--6094#departure=2023-08-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-01&v=1"
71,Sunny Days Resort Spa & Aquapark,4 ѕвезди,€ 1.345,25 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sunny-days-resort-spa-and-aquapark--10433#departure=2023-08-25&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-25&v=1"
72,Labranda Royal Makadi,5 ѕвезди,€ 1.359,18 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/labranda-royal-makadi--302637#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1"
73,The Three Corners Ocean View,4 ѕвезди,€ 1.359,29 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-gouna/the-three-corners-ocean-view--782773#departure=2023-08-29&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-29&v=1"
74,Movenpick Resort Soma Bay,5 ѕвезди,€ 1.359,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/movenpick-resort-soma-bay--971333#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1"
75,SUNRISE Holidays Resort - Adults Only,5 ѕвезди,€ 1.361,01 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sunrise-holidays-resort-adults-only--77895#departure=2023-09-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-01&v=1"
76,Jaz Makadi Saraya Palms,4 ѕвезди,€ 1.375,18 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/jaz-makadi-saraya-palms--592595#departure=2023-08-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-18&v=1"
77,Amarina Abu Soma Resort & Aquapark,5 ѕвезди,€ 1.384,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/amarina-abu-soma-resort-and-aquapark--823149#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
78,Jaz Makadi Oasis Resort,5 ѕвезди,€ 1.391,05 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/jaz-makadi-oasis-resort--353502#departure=2023-09-05&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-05&v=1"
79,Hurghada Marriott Beach Resort,5 ѕвезди,€ 1.396,18 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/hurghada-marriott-beach-resort--757939#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1"
80,Ancient Sands Golf Resort & Residences,"4,5 ѕвезди",€ 1.417,18 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-gouna/ancient-sands-golf-resort-and-residences--808445#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1"
81,Sunny Days Resort - Palma De Mirette,4 ѕвезди,€ 1.418,25 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sunny-days-resort-palma-de-mirette--173280#departure=2023-07-25&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-25&v=1"
82,Jaz Makadi Saraya Resort,5 ѕвезди,€ 1.419,01 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/jaz-makadi-saraya-resort--865106#departure=2023-09-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-01&v=1"
83,Jaz Aquamarine,5 ѕвезди,€ 1.421,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/jaz-aquamarine--344497#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1"
84,Hawaii Riviera Club Aqua Park,4 ѕвезди,€ 1.421,18 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/hawaii-riviera-club-aqua-park--1779895#departure=2023-08-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-18&v=1"
85,Jaz Aquaviva,5 ѕвезди,€ 1.438,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/jaz-aquaviva--622583#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1"
86,Caribbean World Resort Soma Bay,5 ѕвезди,€ 1.447,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/caribbean-world-resort-soma-bay--103153#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
87,Novotel Marsa Alam Beach Resort,"4,5 ѕвезди",€ 1.447,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-qoseir/novotel-marsa-alam-beach-resort--1088860#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
88,Cleopatra Luxury Resort Makadi Bay,5 ѕвезди,€ 1.473,18 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/cleopatra-luxury-resort-makadi-bay--855106#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1"
89,Beach Albatros Resort,4 ѕвезди,€ 1.475,18 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/beach-albatros-resort--969131#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1"
90,Sheraton Soma Bay Resort,5 ѕвезди,€ 1.484,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/ras-abu-soma/sheraton-soma-bay-resort--683333#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
91,Steigenberger Golf Resort,5 ѕвезди,€ 1.505,18 јул. 2023,6 ноќи,Ноќевање со појадок,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-gouna/steigenberger-golf-resort--858787#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1"
92,Hawaii Le Jardin Aqua Park Resort,4 ѕвезди,€ 1.510,18 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/hawaii-le-jardin-aqua-park-resort--254131#departure=2023-08-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-18&v=1"
93,Sheraton Miramar Resort El Gouna,5 ѕвезди,€ 1.510,08 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-gouna/sheraton-miramar-resort-el-gouna--453944#departure=2023-08-08&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-08&v=1"
94,Jaz Makadi Star & Spa,5 ѕвезди,€ 1.510,22 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/jaz-makadi-star-and-spa--859447#departure=2023-08-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-22&v=1"
95,Jaz Grand Marsa,5 ѕвезди,€ 1.524,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/port-ghalib/jaz-grand-marsa--496582#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
96,Aurora Oriental Resort Sharm El Sheikh,5 ѕвезди,€ 1.533,06 окт. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/sinai-peninsula/sharm-el-sheikh/aurora-oriental-resort-sharm-el-sheikh--150904#departure=2023-10-06&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-10-06&v=1"
97,Albatros Beach Club,4 ѕвезди,€ 1.549,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/albatros-beach-club--333389#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
98,Hawaii Caesar Aqua Park,4 ѕвезди,€ 1.549,18 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/hawaii-caesar-aqua-park--493080#departure=2023-08-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-18&v=1"
99,Continental Hurgada,5 ѕвезди,€ 1.549,25 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/continental-hurgada--832040#departure=2023-07-25&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-25&v=1"
100,Hawaii Caesar Dreams Resort & Aqua Park,5 ѕвезди,€ 1.549,18 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/hawaii-caesar-dreams-resort-and-aqua-park--1766513#departure=2023-08-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-18&v=1"
101,Serenity Makadi Beach,5 ѕвезди,€ 1.561,29 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/serenity-makadi-beach--743009#departure=2023-08-29&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-29&v=1"
102,Serenity Fun City,5 ѕвезди,€ 1.561,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/serenity-fun-city--1614530#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
103,Jaz Makadina,5 ѕвезди,€ 1.565,08 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/jaz-makadina--496980#departure=2023-08-08&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-08&v=1"
104,Swiss In Resort (ex Hilton Hurghada Resort),5 ѕвезди,€ 1.575,15 септ. 2023,6 ноќи,Полупансион,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/swiss-in-resort-ex-hilton-hurghada-resort--439487#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
105,Jaz Lamaya Resort,5 ѕвезди,€ 1.591,01 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/port-ghalib/jaz-lamaya-resort--927118#departure=2023-09-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-01&v=1"
106,Albatros Aqua Blue Resort,"3,5 ѕвезди",€ 1.602,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/albatros-aqua-blue-resort--530105#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
107,Albatros Aqua Park Resort,4 ѕвезди,€ 1.602,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/albatros-aqua-park-resort--757506#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
108,Pickalbatros Aqua Vista Resort - Hurghada,4 ѕвезди,€ 1.602,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/pickalbatros-aqua-vista-resort-hurghada--766897#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
109,Ali Baba Palace,4 ѕвезди,€ 1.612,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/ali-baba-palace--253450#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
110,Bellagio Beach Resort & Spa,5 ѕвезди,€ 1.626,18 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/bellagio-beach-resort-and-spa--719331#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1"
111,Mövenpick Resort El Quseir,4 ѕвезди,€ 1.626,18 јул. 2023,6 ноќи,Полупансион плус,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-qoseir/movenpick-resort-el-quseir--803617#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1"
112,Sunrise Grand Select Crystal Bay Resort,5 ѕвезди,€ 1.640,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sunrise-grand-select-crystal-bay-resort--814521#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
113,Steigenberger Coraya Beach,5 ѕвезди,€ 1.642,01 септ. 2023,6 ноќи,Полупансион,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/port-ghalib/steigenberger-coraya-beach--153087#departure=2023-09-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-01&v=1"
114,Albatros Alf Leila Wa Leila Hotel,"3,5 ѕвезди",€ 1.647,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/albatros-alf-leila-wa-leila-hotel--479778#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
115,Sentido Mamlouk Palace Resort & Spa Hurghada,5 ѕвезди,€ 1.653,28 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sentido-mamlouk-palace-resort-and-spa-hurghada--317667#departure=2023-07-28&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-28&v=1"
116,Pickalbatros Sea World Resort - Marsa Alam,4 ѕвезди,€ 1.658,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-qoseir/pickalbatros-sea-world-resort-marsa-alam--350700#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
117,Panorama Bungalows Resort El Gouna,"3,5 ѕвезди",€ 1.658,15 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-gouna/panorama-bungalows-resort-el-gouna--475227#departure=2023-08-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-15&v=1"
118,Tropitel Sahl Hasheesh,5 ѕвезди,€ 1.658,15 септ. 2023,6 ноќи,All inclusive plus/ultra,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/sahl-hasheesh/tropitel-sahl-hasheesh--683803#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1"
119,Jaz Casa Del Mar Beach,5 ѕвезди,€ 1.672,22 септ. 2023,6 ноќи,All inclusive plus/ultra,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/jaz-casa-del-mar-beach--140025#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1"
120,Meraki Resort Hurghada - Adults only,4 ѕвезди,€ 1.672,01 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/meraki-resort-hurghada-adults-only--269474#departure=2023-09-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-01&v=1"
