,Unnamed: 0,hotel_name,stars,price,price_for_period,nights_for_price,package,takeoff_airport,link_on_fibula,title_on_trip_advisor,number_bubbles,number_reviews,link
40,40,Pickalbatros Sands Port Ghalib,5 ѕвезди,€ 1.228,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/port-ghalib/pickalbatros-sands-port-ghalib--210194#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Pickalbatros Sands Port Ghalib,4.5 of 5 bubbles,"2,702 reviews",https://www.tripadvisor.com/Hotel_Review-g10837810-d1204485-Reviews-Pickalbatros_Sands_Port_Ghalib-Port_Ghalib_Red_Sea_and_Sinai.html#REVIEWS
41,41,Hotelux Marina Beach Hurghada,"4,5 ѕвезди",€ 1.228,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/hotelux-marina-beach-hurghada--358178#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Hotelux Marina Beach Resort,4 of 5 bubbles,758 reviews,https://www.tripadvisor.com/Hotel_Review-g297549-d584250-Reviews-Hotelux_Marina_Beach_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
42,42,Pickalbatros Oasis Port Ghalib,5 ѕвезди,€ 1.228,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/port-ghalib/pickalbatros-oasis-port-ghalib--873003#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Pickalbatros Oasis Port Ghalib,4.5 of 5 bubbles,"2,236 reviews",https://www.tripadvisor.com/Hotel_Review-g10837810-d1212536-Reviews-Pickalbatros_Oasis_Port_Ghalib-Port_Ghalib_Red_Sea_and_Sinai.html#REVIEWS
43,43,Titanic Beach Spa & Aqua Park,5 ѕвезди,€ 1.238,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/titanic-beach-spa-and-aqua-park--151882#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1",Titanic Beach Spa & Aqua Park,4 of 5 bubbles,"5,088 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d583951-Reviews-Titanic_Beach_Spa_Aqua_Park-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
44,44,Cook's Club El Gouna,3 ѕвезди,€ 1.240,18 јул. 2023,6 ноќи,Ноќевање со појадок,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-gouna/cooks-club-el-gouna--270707#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1",Cook's Club El Gouna,4.5 of 5 bubbles,404 reviews,https://www.tripadvisor.com/Hotel_Review-g297548-d611054-Reviews-Cook_s_Club_El_Gouna-El_Gouna_Hurghada_Red_Sea_and_Sinai.html#REVIEWS
45,45,Nubia Aqua Beach Resort,"3,5 ѕвезди",€ 1.240,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/nubia-aqua-beach-resort--670818#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Nubia Aqua Beach Resort,4.5 of 5 bubbles,"2,888 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d5123245-Reviews-Nubia_Aqua_Beach_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
46,46,Gravity Hotel & Aqua Park Hurghada,4 ѕвезди,€ 1.240,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/gravity-hotel-and-aqua-park-hurghada--1646906#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Gravity Hotel & Aqua Park Hurghada,4.5 of 5 bubbles,"1,597 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d11915757-Reviews-Gravity_Hotel_Aqua_Park_Hurghada-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
47,47,Concorde Moreen Beach Resort,5 ѕвезди,€ 1.252,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/marsa-alam/concorde-moreen-beach-resort--207026#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Concorde Moreen Beach Resort & Spa,4.5 of 5 bubbles,"4,609 reviews",https://www.tripadvisor.com/Hotel_Review-g311425-d3154994-Reviews-Concorde_Moreen_Beach_Resort_Spa-Marsa_Alam_Red_Sea_and_Sinai.html#REVIEWS
48,48,Imperial Shams Abu Soma,4 ѕвезди,€ 1.254,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/imperial-shams-abu-soma--475542#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Imperial Shams Abu Soma,4 of 5 bubbles,629 reviews,https://www.tripadvisor.com/Hotel_Review-g297549-d1541260-Reviews-Imperial_Shams_Abu_Soma-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
49,49,Hotel Sultan Bey Resort,4 ѕвезди,€ 1.256,18 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-gouna/hotel-sultan-bey-resort--445692#departure=2023-08-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-18&v=1",Sultan Bey Hotel,4.5 of 5 bubbles,"1,534 reviews",https://www.tripadvisor.com/Hotel_Review-g297548-d317242-Reviews-Sultan_Bey_Hotel-El_Gouna_Hurghada_Red_Sea_and_Sinai.html#REVIEWS
50,50,LABRANDA Club Makadi,4 ѕвезди,€ 1.266,18 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/labranda-club-makadi--362199#departure=2023-08-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-18&v=1",Labranda Club Makadi,4.5 of 5 bubbles,"3,085 reviews",https://www.tripadvisor.com/Hotel_Review-g297550-d651120-Reviews-Labranda_Club_Makadi-Makadi_Bay_Hurghada_Red_Sea_and_Sinai.html#REVIEWS
51,51,Sentido Casa Del Mar Resort,4 ѕвезди,€ 1.266,15 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sentido-casa-del-mar-resort--819757#departure=2023-08-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-15&v=1",Sentido Casa Del Mar Resort,5 of 5 bubbles,"1,330 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d629115-Reviews-Sentido_Casa_Del_Mar_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
52,52,ZYA Regina Resort & Aqua Park,4 ѕвезди,€ 1.266,15 септ. 2023,6 ноќи,Ноќевање со појадок,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/zya-regina-resort-and-aqua-park--848241#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",ZYA Regina Resort and Aqua Park Hurghada,4 of 5 bubbles,"1,728 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d316682-Reviews-ZYA_Regina_Resort_and_Aqua_Park_Hurghada-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
53,53,Sindbad Club,4 ѕвезди,€ 1.282,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sindbad-club--1752033#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Sindbad Club,4.5 of 5 bubbles,"5,539 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d12260155-Reviews-Sindbad_Club-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
54,54,Stella Di Mare Beach Resort & Spa,4 ѕвезди,€ 1.292,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/stella-di-mare-beach-resort-and-spa--214249#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Stella Beach Resort & Spa,4.5 of 5 bubbles,"5,223 reviews",https://www.tripadvisor.com/Hotel_Review-g297550-d1460445-Reviews-Stella_Beach_Resort_Spa-Makadi_Bay_Hurghada_Red_Sea_and_Sinai.html#REVIEWS
55,55,Old Palace Resort Sahl Hasheesh,5 ѕвезди,€ 1.292,15 септ. 2023,6 ноќи,All inclusive plus/ultra,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/sahl-hasheesh/old-palace-resort-sahl-hasheesh--666699#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Baron Palace Sahl Hasheesh,5 of 5 bubbles,"6,815 reviews",https://www.tripadvisor.com/Hotel_Review-g15516847-d6510502-Reviews-Baron_Palace_Sahl_Hasheesh-Sahl_Hasheesh_Hurghada_Red_Sea_and_Sinai.html#REVIEWS
56,56,Arabella Azur Resort,4 ѕвезди,€ 1.292,12 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/arabella-azur-resort--687296#departure=2023-09-12&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-12&v=1",Arabella Azur Resort,4.5 of 5 bubbles,"1,532 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d652945-Reviews-Arabella_Azur_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
57,57,Pyramisa Beach Resort Sahl Hasheesh,5 ѕвезди,€ 1.306,08 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/sahl-hasheesh/pyramisa-beach-resort-sahl-hasheesh--290836#departure=2023-09-08&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-08&v=1",Pyramisa Beach Resort Sahl Hasheesh,4 of 5 bubbles,"2,551 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d739270-Reviews-Pyramisa_Beach_Resort_Sahl_Hasheesh-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
58,58,Steigenberger Makadi,5 ѕвезди,€ 1.306,28 јул. 2023,6 ноќи,Полупансион,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/steigenberger-makadi--414364#departure=2023-07-28&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-28&v=1",Steigenberger Makadi,5 of 5 bubbles,"2,279 reviews",https://www.tripadvisor.com/Hotel_Review-g297550-d1142494-Reviews-Steigenberger_Makadi-Makadi_Bay_Hurghada_Red_Sea_and_Sinai.html#REVIEWS
59,59,Steigenberger Aqua Magic Red Sea,5 ѕвезди,€ 1.306,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/steigenberger-aqua-magic-red-sea--493320#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1",Steigenberger Aqua Magic,4.5 of 5 bubbles,"8,321 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d1049226-Reviews-Steigenberger_Aqua_Magic-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
60,60,Gravity Sahl Hasheesh & Aqua Park Hurghada,5 ѕвезди,€ 1.306,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/sahl-hasheesh/gravity-sahl-hasheesh-and-aqua-park-hurghada--1765184#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Gravity Hotel Sahl Hasheesh,4.5 of 5 bubbles,"2,117 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d17511765-Reviews-Gravity_Hotel_Sahl_Hasheesh-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
61,61,Golden Beach Resort,4 ѕвезди,€ 1.308,01 септ. 2023,6 ноќи,All inclusive plus/ultra,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/golden-beach-resort--14228#departure=2023-09-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-01&v=1",Golden Beach Resort,4 of 5 bubbles,"1,058 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d594626-Reviews-Golden_Beach_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
62,62,Caves Beach Resort,5 ѕвезди,€ 1.308,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/caves-beach-resort--604026#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Caves Beach Resort Hurghada,4.5 of 5 bubbles,"1,436 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d8544475-Reviews-Caves_Beach_Resort_Hurghada-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
63,63,Titanic Palace,5 ѕвезди,€ 1.313,22 септ. 2023,6 ноќи,All inclusive plus/ultra,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/titanic-palace--30130#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1",Titanic Palace,4.5 of 5 bubbles,"4,921 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d2206878-Reviews-Titanic_Palace-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
64,64,Tivoli Hotel Aqua Park,3 ѕвезди,€ 1.316,16 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/sinai-peninsula/sharm-el-sheikh/tivoli-hotel-aqua-park--978047#departure=2023-09-16&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-16&v=1",Tivoli Hotel Aqua Park,4.5 of 5 bubbles,657 reviews,https://www.tripadvisor.com/Hotel_Review-g297555-d317260-Reviews-Tivoli_Hotel_Aqua_Park-Sharm_El_Sheikh_South_Sinai_Red_Sea_and_Sinai.html#REVIEWS
65,65,Jaz Dar El Madina,4 ѕвезди,€ 1.317,05 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/port-ghalib/jaz-dar-el-madina--894004#departure=2023-09-05&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-05&v=1",Jaz Dar El Madina,4.5 of 5 bubbles,"2,560 reviews",https://www.tripadvisor.com/Hotel_Review-g311425-d1160095-Reviews-Jaz_Dar_El_Madina-Marsa_Alam_Red_Sea_and_Sinai.html#REVIEWS
66,66,Arabia Azur Resort,4 ѕвезди,€ 1.322,29 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/arabia-azur-resort--611746#departure=2023-08-29&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-29&v=1",Arabia Azur Resort,4.5 of 5 bubbles,"2,212 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d651119-Reviews-Arabia_Azur_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
67,67,Pickalbatros Palace Port Ghalib,5 ѕвезди,€ 1.322,01 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/port-ghalib/pickalbatros-palace-port-ghalib--712997#departure=2023-09-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-01&v=1",The Palace Port Ghalib,4.5 of 5 bubbles,204 reviews,https://www.tripadvisor.com/Attraction_Review-g311425-d2703848-Reviews-The_Palace_Port_Ghalib-Marsa_Alam_Red_Sea_and_Sinai.html#REVIEWS
68,68,SUNRISE Aqua Joy Resort,4 ѕвезди,€ 1.326,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sunrise-aqua-joy-resort--84471#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",SUNRISE Aqua Joy Resort,4.5 of 5 bubbles,"2,473 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d19306665-Reviews-SUNRISE_Aqua_Joy_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
69,69,Sunny Days Resort Spa & Aqua Park,4 ѕвезди,€ 1.333,25 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sunny-days-resort-spa-and-aqua-park--1775484#departure=2023-08-25&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-25&v=1","Sunny Days Resort, Spa & Aqua Park",4 of 5 bubbles,"1,868 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d626014-Reviews-Sunny_Days_Resort_Spa_Aqua_Park-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
70,70,Labranda Club Paradisio El Gouna,4 ѕвезди,€ 1.345,01 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-gouna/labranda-club-paradisio-el-gouna--6094#departure=2023-08-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-01&v=1","Club Paradisio El Gouna, Red Sea",4.5 of 5 bubbles,"2,120 reviews",https://www.tripadvisor.com/Hotel_Review-g297548-d668305-Reviews-Club_Paradisio_El_Gouna_Red_Sea-El_Gouna_Hurghada_Red_Sea_and_Sinai.html#REVIEWS
71,71,Sunny Days Resort Spa & Aquapark,4 ѕвезди,€ 1.345,25 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sunny-days-resort-spa-and-aquapark--10433#departure=2023-08-25&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-25&v=1","Sunny Days Resort, Spa & Aqua Park",4 of 5 bubbles,"1,868 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d626014-Reviews-Sunny_Days_Resort_Spa_Aqua_Park-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
72,72,Labranda Royal Makadi,5 ѕвезди,€ 1.359,18 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/labranda-royal-makadi--302637#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1",Labranda Royal Makadi,4.5 of 5 bubbles,"4,172 reviews",https://www.tripadvisor.com/Hotel_Review-g297550-d604726-Reviews-Labranda_Royal_Makadi-Makadi_Bay_Hurghada_Red_Sea_and_Sinai.html#REVIEWS
73,73,The Three Corners Ocean View,4 ѕвезди,€ 1.359,29 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/el-gouna/the-three-corners-ocean-view--782773#departure=2023-08-29&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-29&v=1",Three Corners Ocean View Hotel,4.5 of 5 bubbles,"4,433 reviews",https://www.tripadvisor.com/Hotel_Review-g297548-d580711-Reviews-Three_Corners_Ocean_View_Hotel-El_Gouna_Hurghada_Red_Sea_and_Sinai.html#REVIEWS
74,74,Movenpick Resort Soma Bay,5 ѕвезди,€ 1.359,22 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/movenpick-resort-soma-bay--971333#departure=2023-09-22&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-22&v=1",Movenpick Waterpark Resort & Spa Soma Bay,4.5 of 5 bubbles,"2,743 reviews",https://www.tripadvisor.com/Hotel_Review-g488095-d4409221-Reviews-Movenpick_Waterpark_Resort_Spa_Soma_Bay-Soma_Bay_Red_Sea_and_Sinai.html#REVIEWS
75,75,SUNRISE Holidays Resort - Adults Only,5 ѕвезди,€ 1.361,01 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/sunrise-holidays-resort-adults-only--77895#departure=2023-09-01&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-01&v=1",,,,
76,76,Jaz Makadi Saraya Palms,4 ѕвезди,€ 1.375,18 авг. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/jaz-makadi-saraya-palms--592595#departure=2023-08-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-08-18&v=1",Jaz Makadi Saraya Palms,5 of 5 bubbles,778 reviews,https://www.tripadvisor.com/Hotel_Review-g297550-d3225264-Reviews-Jaz_Makadi_Saraya_Palms-Makadi_Bay_Hurghada_Red_Sea_and_Sinai.html#REVIEWS
77,77,Amarina Abu Soma Resort & Aquapark,5 ѕвезди,€ 1.384,15 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/safaga/amarina-abu-soma-resort-and-aquapark--823149#departure=2023-09-15&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-15&v=1",Amarina Abu Soma Resort & Aquapark,4.5 of 5 bubbles,"1,245 reviews",https://www.tripadvisor.com/Hotel_Review-g488095-d16880788-Reviews-Amarina_Abu_Soma_Resort_Aquapark-Soma_Bay_Red_Sea_and_Sinai.html#REVIEWS
78,78,Jaz Makadi Oasis Resort,5 ѕвезди,€ 1.391,05 септ. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/makadi-bay/jaz-makadi-oasis-resort--353502#departure=2023-09-05&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-09-05&v=1",Jaz Makadi Oasis Resort,4.5 of 5 bubbles,"3,405 reviews",https://www.tripadvisor.com/Hotel_Review-g297550-d302126-Reviews-Jaz_Makadi_Oasis_Resort-Makadi_Bay_Hurghada_Red_Sea_and_Sinai.html#REVIEWS
79,79,Hurghada Marriott Beach Resort,5 ѕвезди,€ 1.396,18 јул. 2023,6 ноќи,All inclusive,Skopje Airport,"https://www.fibula.com.mk/charter/egipet/crveno-more/hurgada/hurghada-marriott-beach-resort--757939#departure=2023-07-18&durations=6,7,8,9&productType=Flight&selectedOfferDate=2023-07-18&v=1",Hurghada Marriott Beach Resort,4.5 of 5 bubbles,"3,549 reviews",https://www.tripadvisor.com/Hotel_Review-g297549-d299729-Reviews-Hurghada_Marriott_Beach_Resort-Hurghada_Red_Sea_and_Sinai.html#REVIEWS
